,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,28,267.578125,2417.515625,-1950.700548218292,1.12866130571253,117.7273391812866,61,84,28,28
0,29,276.90625,2501.734375,-1951.6224695437706,1.0223577817975773,117.7273391812866,63,87,29,29
0,30,286.046875,2585.21875,-1952.4419343793097,0.9105208831266351,117.7273391812866,65,90,30,30
0,31,295.28125,2669.140625,-1953.1611014196694,0.8042731069539075,117.7273391812866,67,93,31,31
0,32,304.46875,2752.4375,-1953.779272339473,0.6079261520893344,117.7273391812866,69,96,32,32
0,33,313.65625,2836.15625,-1954.3099521870554,0.5318074407976494,117.7273391812866,71,99,33,33
0,34,322.90625,2920.15625,-1954.7732690519806,0.49162329362627777,117.7273391812866,73,102,34,34
0,35,332.09375,3003.625,-1955.1916471333898,0.4519229537895505,117.7273391812866,75,105,35,35
0,36,341.328125,3087.53125,-1955.582071607189,0.4130928484939196,117.7273391812866,77,108,36,36
0,37,350.640625,3171.96875,-1955.9508963899898,0.37552838302555425,117.7273391812866,79,111,37,37
0,38,359.890625,3255.953125,-1956.3018146921356,0.33953247909265016,117.7273391812866,81,114,38,38
0,39,369.21875,3340.125,-1956.632569289681,0.305288784323409,117.7273391812866,83,117,39,39
0,40,378.484375,3423.953125,-1956.9401780765916,0.272850739691886,117.7273391812866,85,120,40,40
0,41,387.65625,3507.4375,-1957.2227487131468,0.25693603014114647,117.7273391812866,87,123,41,41
0,42,396.859375,3591.453125,-1957.4799295018558,0.2533446906617032,117.7273391812866,89,126,42,42
0,43,406.109375,3675.5,-1957.7125257141947,0.24018803111614773,117.7273391812866,91,129,43,43
0,44,415.28125,3759.46875,-1957.921819738819,0.26140679733590494,117.7273391812866,93,132,44,44
0,45,424.578125,3843.59375,-1958.1075061308788,0.2616343342264798,117.7273391812866,95,135,45,45
0,46,433.921875,3928.0,-1958.2727280599188,0.24229130641882402,117.7273391812866,97,138,46,46
0,47,443.296875,4012.71875,-1958.419079615369,0.22714902637950565,117.7273391812866,99,141,47,47
0,48,452.515625,4096.84375,-1958.547045043093,0.2139863342340202,117.7273391812866,101,144,48,48
0,49,461.71875,4180.6875,-1958.6599233116785,0.19526619561272232,117.7273391812866,103,147,49,49
0,50,470.875,4264.28125,-1958.760529563294,0.1749755031323336,117.7273391812866,105,150,50,50
0,51,480.3125,4348.59375,-1958.8516461236268,0.16865892065971244,117.7273391812866,107,153,51,51
0,52,489.484375,4432.375,-1958.9359849209068,0.18351055735295674,117.7273391812866,109,156,52,52
0,53,498.71875,4516.34375,-1959.0159500150212,0.19852051231442713,117.7273391812866,111,159,53,53
0,54,507.953125,4600.125,-1959.093462079793,0.2053059483508619,117.7273391812866,113,162,54,54
0,55,517.265625,4684.03125,-1959.169873103979,0.20432107162898827,117.7273391812866,115,165,55,55
0,56,526.484375,4767.5625,-1959.2459707760695,0.2027863018658227,117.7273391812866,117,168,56,56
0,57,535.6875,4851.40625,-1959.3220515691485,0.22559339311972648,117.7273391812866,119,171,57,57
0,58,544.90625,4935.03125,-1959.3980321690442,0.24193557151610223,117.7273391812866,121,174,58,58
0,59,554.078125,5018.453125,-1959.4735697510218,0.2514944419455034,117.7273391812866,123,177,59,59
0,60,563.40625,5102.53125,-1959.5481696495358,0.2541736383497639,117.7273391812866,125,180,60,60
0,61,572.640625,5186.234375,-1959.62126999455,0.2500975951835209,117.7273391812866,127,183,61,61
0,62,581.890625,5270.328125,-1959.6923027928633,0.23960066869089003,117.7273391812866,129,186,62,62
0,63,591.125,5353.984375,-1959.7607369088994,0.23345922509632655,117.7273391812866,131,189,63,63
