,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,87,14.984375,16.59375,-5669.652870233947,0.28647291411778664,308.641975308642,174,261,87,87
0,88,15.15625,16.765625,-5669.685816708592,0.25856121597018866,308.641975308642,176,264,88,88
0,89,15.265625,16.9375,-5669.7190005481625,0.22659334868475423,308.641975308642,178,267,89,89
0,90,15.453125,17.125,-5669.751869719615,0.20863772199381092,308.641975308642,180,270,90,90
0,91,15.578125,17.3125,-5669.783918641468,0.203213178118121,308.641975308642,182,273,91,91
0,92,15.765625,17.5,-5669.814683606264,0.19095979757919856,308.641975308642,184,276,92,92
0,93,15.953125,17.6875,-5669.843572351187,0.1752039679790851,308.641975308642,186,279,93,93
0,94,16.140625,17.875,-5669.870278244558,0.17546552990044795,308.641975308642,188,282,94,94
0,95,16.328125,18.0625,-5669.8946953381055,0.1739228764263263,308.641975308642,190,285,95,95
0,96,16.453125,18.1875,-5669.916918076153,0.17993469883587743,308.641975308642,192,288,96,96
0,97,16.703125,18.4375,-5669.937198028991,0.19317059508962942,308.641975308642,194,291,97,97
0,98,16.953125,18.6875,-5669.9557635446945,0.19459825865445168,308.641975308642,196,294,98,98
0,99,17.140625,18.875,-5669.972736084433,0.18639210765345382,308.641975308642,198,297,99,99
0,100,17.390625,19.125,-5669.988133199364,0.15543874351840703,308.641975308642,200,300,100,100
0,101,17.578125,19.3125,-5670.001903788798,0.15293467989723286,308.641975308642,202,303,101,101
0,102,17.765625,19.5,-5670.013979804275,0.15134476483801906,308.641975308642,204,306,102,102
0,103,18.015625,19.75,-5670.024228470121,0.14827750053387945,308.641975308642,206,309,103,103
0,104,18.203125,19.9375,-5670.032851348884,0.14365302427359294,308.641975308642,208,312,104,104
0,105,18.390625,20.125,-5670.040413379128,0.13752739677152803,308.641975308642,210,315,105,105
0,106,18.515625,20.3125,-5670.047107944384,0.12983676921748089,308.641975308642,212,318,106,106
