,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,113,4960.546875,4959.46875,269850.170392705,6.4599849011865444,3172,113
0,114,5002.859375,5001.765625,269844.6321529913,5.5382397137000225,3200,114
0,115,5046.28125,5045.15625,269836.3385720719,8.29358091938775,3229,115
0,116,5088.78125,5087.640625,269829.6056500847,6.732921987248119,3257,116
0,117,5131.34375,5130.171875,269824.1827217572,5.422928327461705,3285,117
0,118,5174.203125,5173.015625,269818.9557415787,5.226980178500526,3314,118
0,119,5220.265625,5219.0625,269813.86260089354,5.0931406851741485,3339,119
0,120,5262.421875,5261.21875,269807.2507514121,6.611849481414538,3367,120
0,121,5304.109375,5302.890625,269799.8769852775,7.373766134609468,3393,121
0,122,5346.75,5345.515625,269793.8430336053,6.0339516722015105,3421,122
0,123,5385.84375,5384.59375,269788.7723909045,5.0706427008262835,3450,123
0,124,5425.21875,5423.953125,269783.5791728812,5.193218023283407,3476,124
0,125,5464.203125,5462.921875,269778.3061113487,5.273061532527208,3504,125
0,126,5504.84375,5503.546875,269771.0691560304,7.236955318250693,3532,126
0,127,5547.296875,5545.96875,269764.6515490328,6.417606997652911,3560,127
0,128,5586.4375,5585.09375,269759.41136020503,5.240188827738166,3589,128
0,129,5629.40625,5628.046875,269756.5429974683,2.868362736713607,3619,129
0,130,5669.625,5668.265625,269749.84919039044,6.69380707788514,3647,130
0,131,5709.953125,5708.59375,269747.0899717768,2.759218613617122,3672,131
0,132,5751.15625,5749.796875,269741.1040744744,5.985897302394733,3700,132
0,133,5792.625,5791.265625,269736.9646415551,4.139432919328101,3729,133
0,134,5835.265625,5833.90625,269730.61045493116,6.354186623939313,3758,134
0,135,5877.1875,5875.828125,269725.0427508809,5.5677040502778254,3784,135
0,136,5917.4375,5916.0625,269719.2548932097,5.787857671151869,3813,136
0,137,5961.984375,5960.59375,269713.7471950946,5.507698115136009,3842,137
0,138,6004.828125,6003.421875,269705.324416707,8.422778387612198,3867,138
0,139,6047.90625,6046.484375,269701.41474975995,3.909666947030928,3896,139
0,140,6085.53125,6084.109375,269695.36271745234,6.052032307605259,3925,140
0,141,6123.09375,6121.671875,269691.18290818064,4.1798092717071995,3953,141
0,142,6162.5,6161.078125,269686.52584502834,4.657063152291812,3980,142
0,143,6205.0625,6203.625,269681.02617509733,5.499669931014068,4008,143
0,144,6250.28125,6248.828125,269678.5579385409,2.468236556451302,4038,144
0,145,6290.203125,6288.75,269673.741119075,4.816819465893786,4066,145
0,146,6334.4375,6332.984375,269670.6283944819,3.11272459308384,4095,146
0,147,6376.375,6374.921875,269666.2193029117,4.409091570181772,4122,147
0,148,6418.984375,6417.53125,269663.74847472657,2.470828185149003,4151,148
0,149,6459.921875,6458.46875,269659.80317598203,3.945298744540196,4180,149
0,150,6503.46875,6502.015625,269656.741932521,3.0612434610375203,4208,150
0,151,6547.03125,6545.578125,269653.4408963245,3.301036196469795,4236,151
0,152,6593.140625,6591.6875,269650.40149822994,3.0393980945809744,4263,152
0,153,6639.296875,6637.828125,269646.43382204714,3.9676761828013696,4291,153
0,154,6690.59375,6689.109375,269643.60345310287,2.8303689442691393,4319,154
0,155,6736.28125,6734.78125,269639.60987721116,3.9935758917126805,4346,155
0,156,6782.859375,6781.359375,269636.2303507669,3.37952644424513,4371,156
0,157,6828.796875,6827.296875,269633.16249975865,3.0678510082652792,4400,157
0,158,6880.4375,6878.9375,269630.735974355,2.426525403629057,4428,158
0,159,6930.171875,6928.671875,269627.4361701648,3.299804190231953,4457,159
0,160,6980.671875,6979.15625,269624.9984870321,2.4376831327099353,4483,160
0,161,7027.375,7025.859375,269621.89236662874,3.10612040333217,4511,161
